INFO:root:Starting crawling
DEBUG:root:Entering folder 	binary-amd64
DEBUG:root:File Packages.bz2
DEBUG:root:File Packages.gz
DEBUG:root:File Release
DEBUG:root:Folder by-hash
DEBUG:root:Entering folder 	by-hash
DEBUG:root:Folder MD5Sum
DEBUG:root:Folder SHA1
DEBUG:root:Folder SHA256
DEBUG:root:Entering folder 	MD5Sum
DEBUG:root:File 454f9ce23d61b6ac74da95120276ceda
DEBUG:root:File 6defef06824ec534f0ff7d1be172c568
DEBUG:root:File bef584638d76667025bcbda442fe1e6f
DEBUG:root:Entering folder 	SHA1
DEBUG:root:File 1c7f76d34af891d3458fe0c1a6b11dc3e9e9c150
DEBUG:root:File 6eed030c02afded7cf3eda028790ebdd9e31a755
DEBUG:root:File c9f81c13ce5a9701270b7ff55ab03e572b796e53
DEBUG:root:Entering folder 	SHA256
DEBUG:root:File ccbcbdcc89b193bad8d2cd4656eab4d1d77c6be1f2a50e977d6c87e4f1cd6f27
DEBUG:root:File d68f1e56c2e9d9ff6b577cf9ab3b26486b5927b6221a146d5f6654b739225fef
DEBUG:root:File e89f4dab63af57a4ac1da3df36e8b1341b7bf9b40e6f9bd7cc14e48e24fe52c7
DEBUG:root:Entering folder 	binary-armel
DEBUG:root:File Packages.bz2
DEBUG:root:File Packages.gz
DEBUG:root:File Release
DEBUG:root:Folder by-hash
DEBUG:root:Entering folder 	by-hash
DEBUG:root:Folder MD5Sum
DEBUG:root:Folder SHA1
DEBUG:root:Folder SHA256
DEBUG:root:Entering folder 	MD5Sum
DEBUG:root:File 46bc96eacca5a664b4dbc5bbdeed74d9
DEBUG:root:File 7b5becb8bb33e90c695346e8e7058bab
DEBUG:root:File c384b660340d7164d074973071c2cfa3
DEBUG:root:Entering folder 	SHA1
DEBUG:root:File 66e95b11825db25b49e75a3258be70a93d813c63
DEBUG:root:File 9e5e8e0aa0caeae3a0843cb116812670dd1d6165
DEBUG:root:File eeef1062810cbf69ce84c43326844509c3c2e15a
DEBUG:root:Entering folder 	SHA256
DEBUG:root:File 844c4a250ff4ca0abc943ded24a62e09e9cbd266f0fc41c882762d67b2d26b92
DEBUG:root:File 9bda6635437b763bd05e970fddc57c32f2845c16a97e0f64cab26820bf28b8c6
DEBUG:root:File f5ab0775a3270d1a354ce76ac90bcafb413886e159895b61f65ad74d6269feb3
DEBUG:root:Entering folder 	binary-armhf
DEBUG:root:File Packages.bz2
DEBUG:root:File Packages.gz
DEBUG:root:File Release
DEBUG:root:Folder by-hash
DEBUG:root:Entering folder 	by-hash
DEBUG:root:Folder MD5Sum
DEBUG:root:Folder SHA1
DEBUG:root:Folder SHA256
DEBUG:root:Entering folder 	MD5Sum
DEBUG:root:File b9159ba6b6d06b3d906c9ed072d67ea7
DEBUG:root:File c30812c29d48eacc4f8d732f91a4afd4
DEBUG:root:File de305388fbec34c161fa6914d01fecdc
DEBUG:root:Entering folder 	SHA1
DEBUG:root:File 1611b4946273b062e6fdc26737b4d25380d2bd4c
DEBUG:root:File 4f33e8322eb213aea0625376807b066d991988b2
DEBUG:root:File e729333c6e553decc456a4716f87e72a734dc93e
DEBUG:root:Entering folder 	SHA256
DEBUG:root:File 87d64cb84e9d0b96792d2178c7508bd22ac21178fab5206b0675d3c99aca8423
DEBUG:root:File a95dc3892b57729e511b7192817ee4f579bce5411fcbab72fee60ed4761983ef
DEBUG:root:File ff2e1b44ab762174b26be1162d30c3ff6ffdca243436e901260b6dc78ceaa0ba
DEBUG:root:Entering folder 	binary-i386
DEBUG:root:File Packages.bz2
DEBUG:root:File Packages.gz
DEBUG:root:File Release
DEBUG:root:Folder by-hash
DEBUG:root:Entering folder 	by-hash
DEBUG:root:Folder MD5Sum
DEBUG:root:Folder SHA1
DEBUG:root:Folder SHA256
DEBUG:root:Entering folder 	MD5Sum
DEBUG:root:File 902f4506d836f8a4a718ca4f790dd8f1
DEBUG:root:File dd9f80305867cd3a68998a037c2da3e2
DEBUG:root:File f4afe10eeeb42a7e2cfdd1770c5fb86c
DEBUG:root:Entering folder 	SHA1
DEBUG:root:File adaddb4cc121db85e591d8882c67ce2afa8d55e3
DEBUG:root:File d42d64c60210a732cf38cf3832ea24adc46177a5
DEBUG:root:File d44d211c24ff2e24134ef5c5de1bace0460b2cd8
DEBUG:root:Entering folder 	SHA256
DEBUG:root:File 70b3f0227a6a9604009f8b87043b2a609b8a04b970bfe989a5c343df5e14079b
DEBUG:root:File 91146073b8b501596225213561893206da4d86371cf91f0869b460e4755d43d6
DEBUG:root:File aa0c567852001011fca3c0330b4582fe68c7f3c368f89e06f442722bba253d7e
DEBUG:root:Entering folder 	binary-ia64
DEBUG:root:File Packages.bz2
DEBUG:root:File Packages.gz
DEBUG:root:File Release
DEBUG:root:Folder by-hash
DEBUG:root:Entering folder 	by-hash
DEBUG:root:Folder MD5Sum
DEBUG:root:Folder SHA1
DEBUG:root:Folder SHA256
DEBUG:root:Entering folder 	MD5Sum
DEBUG:root:File 7ca170459742821c38424e4368697696
DEBUG:root:File b33334c2fb09ed664928296a9b21a432
DEBUG:root:File cc49a4ae43858194091defc57cfcc6df
DEBUG:root:Entering folder 	SHA1
DEBUG:root:File 6b336a4c788228ccb47f5661a329874be716a544
DEBUG:root:File 82fa4875aba3aff85f065d7ac9156f3f34782eb4
DEBUG:root:File c22878b5807d2ef4164094555e789f48664499f7
DEBUG:root:Entering folder 	SHA256
DEBUG:root:File 4d13570820d68b30e75f2bd47261356a913a3868521f16190995ecfe78d10473
DEBUG:root:File ddb7d6fb5a0440bbf2b2a058d03ca7e4196899f9c519649e4c92874f3df950a4
DEBUG:root:File ef9cc2907ea9e0e216640839ca3a319ee4c848ee28f22036b55e31136a56050a
DEBUG:root:Entering folder 	binary-kfreebsd-amd64
DEBUG:root:File Packages.bz2
DEBUG:root:File Packages.gz
DEBUG:root:File Release
DEBUG:root:Folder by-hash
DEBUG:root:Entering folder 	by-hash
DEBUG:root:Folder MD5Sum
DEBUG:root:Folder SHA1
DEBUG:root:Folder SHA256
DEBUG:root:Entering folder 	MD5Sum
DEBUG:root:File 51dce15f018b628acbb8d65c3c456acf
DEBUG:root:File 71e2b3e4e03f4b7391091fb58ff8ace7
DEBUG:root:File d7fd74fedf0535693e0e26768874cb52
DEBUG:root:Entering folder 	SHA1
DEBUG:root:File 311a65642613c69019c813f4c48766ed52e9ec1a
DEBUG:root:File 8ca5abfe4f7f3ccf6c54577913489c950b69a2f0
DEBUG:root:File fe8000c0f1efea4131ad836de30f3c43695cabce
DEBUG:root:Entering folder 	SHA256
DEBUG:root:File 0511f5e23aaeb8b7546ed7cec84324b9e400734aff41bed1c591c40c058da250
DEBUG:root:File 27486685bada8084852667cfae83a902ea56ad09f8381645de6a34385f27f8b0
DEBUG:root:File c1fd6844e1089072e23b1759dcab81cb72a53efc6adadefcf9d84e1ae2024112
DEBUG:root:Entering folder 	binary-kfreebsd-i386
DEBUG:root:File Packages.bz2
DEBUG:root:File Packages.gz
DEBUG:root:File Release
DEBUG:root:Folder by-hash
DEBUG:root:Entering folder 	by-hash
DEBUG:root:Folder MD5Sum
DEBUG:root:Folder SHA1
DEBUG:root:Folder SHA256
DEBUG:root:Entering folder 	MD5Sum
DEBUG:root:File 4d394fd0dd5d616f5f6c9aa3eb05b6d3
DEBUG:root:File 508d1a81f2b3630eeccbda1f9cf5196a
DEBUG:root:File a118346728f4ee7299fbdefa29fcda94
DEBUG:root:Entering folder 	SHA1
DEBUG:root:Folder 630318221aad9edadadca0e8ad4e7a5296c576f9
DEBUG:root:File 65137f488f1d109683441a200015b8bc4a071234
DEBUG:root:File adab61d93bf1917065e93c3ea5408d90a2ac0a9c
DEBUG:root:Entering folder 	630318221aad9edadadca0e8ad4e7a5296c576f9
DEBUG:root:Entering folder 	SHA256
DEBUG:root:Entering folder 	binary-mips
DEBUG:root:Entering folder 	binary-mipsel
DEBUG:root:Entering folder 	binary-powerpc
DEBUG:root:Entering folder 	binary-s390
DEBUG:root:Entering folder 	binary-s390x
DEBUG:root:Entering folder 	binary-sparc
DEBUG:root:Entering folder 	by-hash
DEBUG:root:Entering folder 	debian-installer
DEBUG:root:Entering folder 	i18n
DEBUG:root:Entering folder 	source
DEBUG:root:Entering folder 	main
DEBUG:root:Entering folder 	non-free
DEBUG:root:Entering folder 	Debian8.9
DEBUG:root:Entering folder 	Debian9.1
DEBUG:root:Entering folder 	buster
DEBUG:root:Entering folder 	buster-proposed-updates
DEBUG:root:Entering folder 	buster-updates
DEBUG:root:Entering folder 	experimental
DEBUG:root:Entering folder 	jessie
DEBUG:root:Entering folder 	jessie-backports
INFO|2017-09-14 12:52:44,595|Starting crawling
DEBUG|2017-09-14 12:52:44,861|Folder debian
DEBUG|2017-09-14 12:52:44,881|Folder distros
DEBUG|2017-09-14 12:52:44,901|Folder mirrors
DEBUG|2017-09-14 12:52:44,923|Folder traffic
DEBUG|2017-09-14 12:52:44,943|File traffic.html
DEBUG|2017-09-14 12:52:44,944|Entering folder 	debian
DEBUG|2017-09-14 12:52:45,079|File Archive-Update-in-Progress-ftp.upcnet.ro
DEBUG|2017-09-14 12:52:45,101|File README
DEBUG|2017-09-14 12:52:45,121|File README.CD-manufacture
DEBUG|2017-09-14 12:52:45,142|File README.html
DEBUG|2017-09-14 12:52:45,161|File README.mirrors.html
DEBUG|2017-09-14 12:52:45,183|File README.mirrors.txt
DEBUG|2017-09-14 12:52:45,203|Folder dists
DEBUG|2017-09-14 12:52:45,228|Folder doc
DEBUG|2017-09-14 12:52:45,248|File extrafiles
DEBUG|2017-09-14 12:52:45,268|Folder indices
DEBUG|2017-09-14 12:52:45,288|File ls-lR.gz
DEBUG|2017-09-14 12:52:45,308|Folder pool
DEBUG|2017-09-14 12:52:45,328|Folder project
DEBUG|2017-09-14 12:52:45,351|Folder tools
DEBUG|2017-09-14 12:52:45,371|Folder zzz-dists
DEBUG|2017-09-14 12:52:45,371|Entering folder 	dists
DEBUG|2017-09-14 12:52:45,513|Folder Debian7.11
DEBUG|2017-09-14 12:52:45,538|Folder Debian8.9
DEBUG|2017-09-14 12:52:45,558|Folder Debian9.1
DEBUG|2017-09-14 12:52:45,578|File README
DEBUG|2017-09-14 12:52:45,598|Folder buster
DEBUG|2017-09-14 12:52:45,618|Folder buster-proposed-updates
DEBUG|2017-09-14 12:52:45,641|Folder buster-updates
DEBUG|2017-09-14 12:52:45,661|Folder experimental
DEBUG|2017-09-14 12:52:45,681|Folder jessie
DEBUG|2017-09-14 12:52:45,701|Folder jessie-backports
DEBUG|2017-09-14 12:52:45,721|Folder jessie-backports-sloppy
DEBUG|2017-09-14 12:52:45,741|Folder jessie-kfreebsd
DEBUG|2017-09-14 12:52:45,763|Folder jessie-kfreebsd-proposed-updates
DEBUG|2017-09-14 12:52:45,801|Folder jessie-proposed-updates
DEBUG|2017-09-14 12:52:45,822|Folder jessie-updates
DEBUG|2017-09-14 12:52:45,842|Folder oldoldstable
DEBUG|2017-09-14 12:52:45,863|Folder oldoldstable-backports
DEBUG|2017-09-14 12:52:45,888|Folder oldoldstable-backports-sloppy
DEBUG|2017-09-14 12:52:45,908|Folder oldoldstable-proposed-updates
DEBUG|2017-09-14 12:52:45,928|Folder oldoldstable-updates
DEBUG|2017-09-14 12:52:45,948|Folder oldstable
DEBUG|2017-09-14 12:52:45,971|Folder oldstable-backports
DEBUG|2017-09-14 12:52:45,993|Folder oldstable-backports-sloppy
DEBUG|2017-09-14 12:52:46,013|Folder oldstable-kfreebsd
DEBUG|2017-09-14 12:52:46,038|Folder oldstable-kfreebsd-proposed-updates
